iter	Passed	Remaining
401	16551	24621
402	16588	24574
403	16622	24522
404	16662	24478
405	16706	24442
406	16753	24410
407	16795	24369
408	16845	24341
409	16892	24309
410	16930	24262
411	16969	24218
412	17006	24171
413	17041	24121
414	17077	24072
415	17114	24025
416	17149	23976
417	17184	23926
418	17219	23877
419	17254	23828
420	17289	23777
421	17323	23727
422	17356	23675
423	17393	23628
424	17429	23581
425	17465	23533
426	17503	23487
427	17542	23444
428	17577	23395
429	17612	23346
430	17647	23297
431	17681	23247
432	17722	23206
433	17764	23166
434	17802	23122
435	17839	23077
436	17881	23036
437	17921	22995
438	17960	22951
439	18001	22910
440	18042	22870
441	18083	22829
442	18124	22788
443	18167	22749
444	18206	22706
445	18241	22658
446	18277	22611
447	18312	22563
448	18346	22513
449	18380	22464
450	18420	22423
451	18461	22382
452	18500	22340
453	18538	22294
454	18577	22251
455	18611	22203
456	18648	22157
457	18686	22113
458	18723	22068
459	18760	22023
460	18795	21975
461	18831	21929
462	18868	21884
463	18906	21840
464	18946	21798
465	18985	21756
466	19020	21708
467	19057	21663
468	19096	21620
469	19132	21575
470	19173	21534
471	19210	21489
472	19245	21442
473	19280	21395
474	19316	21349
475	19351	21303
476	19387	21256
477	19424	21212
478	19463	21169
479	19501	21126
480	19536	21079
481	19577	21039
482	19612	20993
483	19649	20948
484	19685	20902
485	19727	20864
486	19762	20817
487	19799	20772
488	19837	20730
489	19874	20685
490	19914	20644
491	19964	20613
492	20025	20594
493	20091	20579
494	20149	20556
495	20213	20539
496	20256	20500
497	20303	20466
498	20345	20427
499	20383	20383
500	20422	20341
501	20458	20295
502	20496	20251
503	20533	20207
504	20571	20163
505	20607	20118
506	20650	20079
507	20691	20039
508	20734	20001
509	20771	19956
510	20809	19913
511	20846	19869
512	20889	19830
513	20930	19789
514	20981	19759
515	21045	19740
516	21098	19711
517	21150	19680
518	21198	19646
519	21252	19617
520	21302	19584
521	21347	19548
522	21397	19515
523	21440	19476
524	21498	19450
525	21557	19426
526	21616	19401
527	21667	19369
528	21735	19352
529	21778	19313
530	21833	19284
531	21895	19261
532	21952	19233
533	22010	19207
534	22068	19181
535	22131	19159
536	22193	19134
537	22256	19112
538	22316	19086
539	22373	19059
540	22440	19038
541	22498	19011
542	22560	18987
543	22625	18965
544	22685	18939
545	22749	18916
546	22806	18887
547	22866	18860
548	22928	18835
549	22992	18811
550	23050	18783
551	23103	18750
552	23171	18730
553	23231	18702
554	23291	18675
555	23362	18656
556	23430	18635
557	23497	18612
558	23560	18586
559	23630	18566
560	23686	18535
561	23751	18511
562	23804	18476
563	23856	18442
564	23900	18400
565	23941	18357
566	23980	18313
567	24023	18271
568	24064	18228
569	24117	18194
570	24177	18164
571	24240	18137
572	24304	18111
573	24379	18093
574	24457	18077
575	24534	18059
576	24593	18029
577	24636	17986
578	24676	17942
579	24716	17898
580	24761	17857
581	24802	17813
582	24843	17769
583	24881	17724
584	24919	17677
585	24955	17630
586	24993	17585
587	25030	17538
588	25069	17493
589	25108	17448
590	25144	17401
591	25183	17356
592	25220	17309
593	25256	17262
594	25292	17215
595	25327	17168
596	25367	17124
597	25408	17080
598	25445	17034
599	25480	16987
600	25521	16943
601	25555	16895
602	25590	16848
603	25629	16803
604	25664	16756
605	25699	16709
606	25742	16667
607	25781	16622
608	25819	16577
609	25859	16533
610	25898	16488
611	25936	16443
612	25973	16397
613	26008	16350
614	26049	16307
615	26120	16282
616	26187	16255
617	26246	16223
618	26307	16192
619	26373	16164
620	26438	16135
621	26505	16107
622	26574	16081
623	26650	16058
624	26717	16030
625	26781	16000
626	26930	16020
627	27063	16031
628	27150	16014
629	27217	15984
630	27280	15953
631	27344	15922
632	27410	15892
633	27477	15862
634	27546	15833
635	27595	15793
636	27642	15752
637	27701	15717
638	27756	15680
639	27802	15638
640	27848	15596
641	27901	15558
642	27958	15523
643	28018	15488
644	28083	15456
645	28147	15424
646	28202	15387
647	28247	15344
648	28296	15303
649	28343	15261
650	28384	15217
651	28429	15173
652	28474	15131
653	28518	15088
654	28555	15040
655	28593	14993
656	28633	14948
657	28672	14902
658	28710	14856
659	28747	14809
660	28794	14767
661	28835	14722
662	28876	14678
663	28918	14633
664	28964	14591
665	29012	14549
666	29055	14506
667	29103	14464
668	29147	14421
669	29192	14378
670	29234	14334
671	29279	14291
672	29327	14249
673	29382	14211
674	29432	14171
675	29488	14133
676	29540	14094
677	29583	14050
678	29622	14004
679	29661	13958
680	29698	13911
681	29736	13865
682	29780	13822
683	29817	13775
684	29853	13728
685	29889	13681
686	29926	13634
687	29964	13588
688	30000	13541
689	30034	13493
690	30071	13447
691	30109	13401
692	30149	13356
693	30187	13310
694	30229	13266
695	30266	13219
696	30303	13173
697	30341	13127
698	30380	13082
699	30417	13036
700	30455	12990
701	30495	12945
702	30539	12902
703	30587	12860
704	30631	12817
705	30672	12773
706	30715	12729
707	30759	12686
708	30800	12641
709	30840	12596
710	30877	12550
711	30916	12505
712	30952	12459
713	30987	12412
714	31024	12366
715	31066	12322
716	31102	12276
717	31138	12229
718	31174	12183
719	31210	12137
720	31246	12091
721	31286	12046
722	31325	12001
723	31362	11955
724	31401	11910
725	31438	11865
726	31477	11820
727	31517	11775
728	31555	11730
729	31595	11686
730	31637	11642
731	31684	11600
732	31727	11557
733	31769	11513
734	31807	11468
735	31847	11423
736	31889	11379
737	31933	11336
738	31976	11293
739	32016	11248
740	32055	11204
741	32093	11159
742	32131	11114
743	32168	11068
744	32207	11024
745	32242	10978
746	32279	10932
747	32322	10889
748	32364	10845
749	32405	10801
750	32441	10756
751	32479	10711
752	32517	10666
753	32556	10621
754	32592	10576
755	32632	10532
756	32671	10487
757	32708	10442
758	32744	10397
759	32786	10353
760	32821	10307
761	32861	10263
762	32898	10218
763	32932	10172
764	32969	10127
765	33004	10082
766	33040	10037
767	33076	9991
768	33112	9946
769	33150	9902
770	33188	9857
771	33224	9812
772	33266	9769
773	33305	9724
774	33341	9679
775	33379	9635
776	33415	9590
777	33451	9545
778	33489	9500
779	33532	9457
780	33578	9415
781	33623	9373
782	33666	9330
783	33706	9286
784	33744	9242
785	33790	9199
786	33827	9155
787	33865	9111
788	33902	9066
789	33940	9022
790	33982	8979
791	34024	8935
792	34063	8891
793	34104	8848
794	34143	8804
795	34180	8759
796	34217	8715
797	34252	8670
798	34292	8626
799	34329	8582
800	34365	8537
801	34402	8493
802	34437	8448
803	34472	8403
804	34509	8359
805	34546	8315
806	34583	8270
807	34625	8227
808	34667	8184
809	34712	8142
810	34772	8103
