iter	Logloss
0	0.6886719916
1	0.6844287337
2	0.6799507332
3	0.6759568408
4	0.6726427198
5	0.6696483545
6	0.6667461061
7	0.6633825947
8	0.6604101042
9	0.6576050828
10	0.6548463157
11	0.6520409883
12	0.6494681184
13	0.6471701027
14	0.6450216011
15	0.6427001379
16	0.640290736
17	0.6379751095
18	0.6358240553
19	0.6340045499
20	0.6315025722
21	0.6295837842
22	0.6276069154
23	0.6256181339
24	0.6234219582
25	0.6217270232
26	0.6201463283
27	0.6184730339
28	0.616668749
29	0.614541931
30	0.6133059834
31	0.6117289216
32	0.6104034194
33	0.6089055819
34	0.6082527237
35	0.6069816503
36	0.6054709442
37	0.603227907
38	0.6023293641
39	0.6009280317
40	0.599250956
41	0.5978286571
42	0.5966130785
43	0.5957732236
44	0.5937313233
45	0.5928167472
46	0.5915919187
47	0.590436357
48	0.5893339095
49	0.5884648947
50	0.5874033572
51	0.5867189011
52	0.5856714416
53	0.5841136923
54	0.5830703296
55	0.5815721956
56	0.580644402
57	0.5796034581
58	0.5781167157
59	0.5773005187
60	0.57653506
61	0.5754736276
62	0.5746573302
63	0.5732883989
64	0.5725046268
65	0.5718480686
66	0.5706663012
67	0.5699634648
68	0.5683192346
69	0.5674535995
70	0.5670077341
71	0.566136984
72	0.564745327
73	0.5635239451
74	0.5627276772
75	0.5620399705
76	0.561528213
77	0.5603310721
78	0.5597610282
79	0.5593041298
80	0.5584784964
81	0.5574129817
82	0.5565376091
83	0.5559059038
84	0.555170021
85	0.5544066369
86	0.5533763006
87	0.5526145323
88	0.5518269168
89	0.5514782258
90	0.5506273619
91	0.550243306
92	0.5497840747
93	0.5493329892
94	0.5484960695
95	0.5474697582
96	0.5470602327
97	0.5462113431
98	0.5452131353
99	0.5443344977
100	0.5431950648
101	0.5421301094
102	0.5413957658
103	0.5405334434
104	0.5396784541
105	0.538961879
106	0.5381810564
107	0.5373825895
108	0.5365142727
109	0.5352189487
110	0.5344378966
111	0.5338901195
112	0.5332224423
113	0.5327248968
114	0.5319377545
115	0.5317949711
116	0.5310489922
117	0.530607343
118	0.5299881192
119	0.5294692295
120	0.529191096
121	0.5289121786
122	0.52840099
123	0.5279576916
124	0.5273642528
125	0.5269917079
126	0.5264506806
127	0.5262136483
128	0.5256283982
129	0.5251626132
130	0.5247441342
131	0.5240146522
132	0.5237205142
133	0.5229170328
134	0.5221374148
135	0.5215123686
136	0.5207243707
137	0.5203237414
138	0.5198213343
139	0.5192965505
140	0.5187998463
141	0.5180703261
142	0.5173685987
143	0.5170912253
144	0.5164267318
145	0.5161726194
146	0.5160330722
147	0.5155656905
148	0.5151867496
149	0.5145342738
150	0.5142215021
151	0.5135521662
152	0.513255442
153	0.5127814587
154	0.5124277244
155	0.5119571877
156	0.5115947054
157	0.5110521054
158	0.5104860435
159	0.5099315739
160	0.5096268522
161	0.509190404
162	0.5088727086
163	0.5085825048
164	0.507990414
165	0.5075110529
166	0.506776432
167	0.5062555108
168	0.5059881378
169	0.5054950236
170	0.5051538233
171	0.5048651349
172	0.5042492334
173	0.5037458989
174	0.5033753378
175	0.5030106231
176	0.5027733518
177	0.502136828
178	0.5017676485
179	0.501511624
180	0.5010793872
181	0.5007483308
